Latitude,Longitude,Rainfall (mm),Temperature (°C),Humidity (%),River Discharge (m³/s),Water Level (m),Elevation (m),Land Cover,Soil Type,Population Density,Infrastructure,Historical Floods,Flood Occurred
15.552605620841796,96.25593703656868,7.3021,27.5216,26.6188,115.4111,0.8569,140.8693,Forest,Sandy,377.5892,0,0,0
30.793658815958267,92.67587020460181,11.168,36.3629,43.1617,324.5508,0.8229,40.408,Agricultural,Peat,559.0635,1,0,0
29.056639738155845,75.56316042260814,137.6135,20.6664,90.4282,2473.4366,3.9343,187.987,Agricultural,Sandy,1725.7995,1,0,1
34.95428712031368,80.58694397376041,85.5911,20.2361,70.3975,1882.186,4.0995,299.5575,Forest,Silt,784.7735,1,0,1
24.346573798833788,76.86322438630661,9.7396,36.9487,48.5569,489.736,0.9111,474.6314,Agricultural,Silt,814.8479,0,0,0
25.817411240688234,73.85239312168822,8.9839,34.7433,26.309,168.8863,0.5,296.282,Forest,Loam,1077.5637,1,1,0
33.77521286072151,96.78249048754654,372.3622,44.1236,100.0,5483.9914,7.9618,110.9071,Agricultural,Clay,1123.7262,1,0,1
17.553488119916096,71.52807337135016,93.2853,27.8884,49.2421,1573.5552,2.3703,463.5663,Agricultural,Clay,746.5059,1,1,1
32.79673363620206,88.74480865184516,123.3311,38.2142,76.5962,2613.9363,4.9696,231.0704,Forest,Peat,1028.1138,0,1,1
14.84071926245542,69.08831450309287,133.404,24.1708,65.7401,2578.4665,5.1242,12.8248,Water Body,Rocky,4456.1504,0,0,1
15.268222352136355,68.89287489073831,3.7299,29.6465,35.8277,1023.486,1.0009,58.1555,Agricultural,Loam,4136.7797,1,1,0
32.80032219821619,74.12167631675953,7.6924,24.909,47.0682,536.4357,0.5,172.6066,Agricultural,Loam,536.9281,0,1,0
11.661918632197462,85.43289316359164,106.1315,21.7477,64.8013,2347.8028,4.4585,518.9818,Urban,Clay,1527.999,0,1,1
22.341577256027865,83.68271356434956,4.5231,25.359,33.8657,346.3702,0.5722,126.1155,Agricultural,Clay,1727.4233,0,0,0
30.770750479543718,92.49673928419912,250.2763,15.6455,100.0,4088.0847,6.2229,230.6635,Agricultural,Sandy,104.7701,0,1,1
31.302297172915907,84.28720110464576,58.8019,28.9401,38.2718,815.3822,0.656,535.6437,Forest,Loam,2915.1297,0,0,0
15.817654190430034,68.2639987802968,5.7636,39.3001,35.24,355.3455,1.2646,234.6382,Agricultural,Silt,774.6196,1,0,0
30.275646732381944,80.5273056950426,32.9119,22.9154,68.1263,1480.7437,3.3365,615.5151,Wetland,Sandy,4783.4344,0,1,1
32.04139950203746,74.3785634935565,18.0282,24.352,33.8643,808.6903,0.9393,45.0868,Water Body,Clay,2103.2518,0,0,1
20.7921507823112,76.58836224696904,26.6549,28.8148,49.3853,1158.5568,1.7605,423.8672,Agricultural,Silt,922.3333,0,1,0
22.71026624318266,71.69118530453326,48.9763,29.4434,49.7669,1184.9906,0.9081,78.0474,Agricultural,Clay,1032.4012,1,1,0
13.518901918669478,71.30636522192684,49.1922,25.438,45.3286,712.919,1.5783,294.303,Agricultural,Rocky,1115.5758,1,1,0
8.125064621124277,73.9150556659511,50.693,22.5998,43.2934,777.5075,0.9594,585.9989,Agricultural,Clay,1353.4641,0,0,0
9.543850672317197,87.78050502934232,4.1808,31.2638,21.375,284.4617,1.2008,240.5093,Wetland,Loam,6217.1572,1,1,0
22.307277746735203,87.30682861219123,52.5696,31.0893,48.9149,1477.115,3.4824,241.2911,Desert,Loam,733.748,1,1,1
11.448603744824494,84.6599188459234,103.2294,27.4724,82.8078,2312.2335,3.7196,7112.92,Agricultural,Sandy,828.9912,1,1,0
27.34319724947475,78.62181413798089,225.3368,15.0,96.9364,4102.1404,6.358,764.3459,Forest,Sandy,2117.0245,0,1,1
28.838069511693995,85.07098507555727,19.3975,36.6039,44.6812,547.2457,0.5,16.5595,Water Body,Loam,753.3762,1,0,0
29.047456302018933,92.53378642157705,227.5658,34.13,94.5687,3739.2317,5.5421,294.8478,Agricultural,Clay,913.2523,0,1,1
32.46827140079394,68.65330290031201,109.6128,24.8115,66.7545,2883.4127,4.7676,74.5183,Forest,Clay,1097.8363,1,1,1
33.12420201912499,94.81115515685337,8.8239,28.5573,45.5637,254.3191,0.5504,171.8814,Urban,Sandy,4258.5651,0,1,0
11.484441435753965,85.3189781093333,49.8828,30.8187,48.5205,638.534,0.5,292.4848,Agricultural,Silt,3684.9613,1,1,0
21.284046694666234,89.6360017550021,16.663,32.6477,41.5679,260.5585,0.5,756.935,Forest,Sandy,6248.6958,1,1,0
26.119515241321352,81.95887376826794,4.2937,20.2832,43.2317,591.906,0.5399,105.6594,Desert,Loam,2313.5593,1,0,0
21.9557781972893,87.89676079414463,162.2072,35.3562,73.2796,2990.7397,4.7319,161.4249,Agricultural,Peat,961.1401,1,1,1
29.53154124006083,70.33749924146505,50.8439,42.8085,68.6332,2198.9722,3.9624,211.7515,Forest,Silt,5271.8848,0,1,1
10.724730497960113,74.08661398758751,170.5243,23.9632,62.1167,3052.1682,4.707,93.3207,Agricultural,Loam,1163.6672,0,1,1
22.638805407736797,81.46068858019918,3.5636,25.6129,37.6288,265.9506,0.5,262.9702,Forest,Sandy,12000.0,0,1,0
22.53293147146818,72.1003592145876,82.0953,33.5829,60.6569,2138.8653,3.608,55.5971,Agricultural,Sandy,345.4519,1,1,1
19.021989209882264,96.60268551953169,25.8115,32.6045,52.2529,872.9124,1.4217,77.4227,Forest,Silt,2556.6711,1,1,0
10.122404492553391,89.58479252567412,1.3016,22.1703,44.6349,476.5608,0.6501,6027.5178,Agricultural,Clay,3276.822,0,1,0
14.028536427174853,73.913602844701,249.6309,29.0409,96.7691,3911.3851,6.1172,111.722,Agricultural,Clay,237.0768,0,0,1
10.980644324748212,72.94467994493485,200.1931,23.9465,100.0,3935.9136,5.6942,86.0782,Agricultural,Rocky,4734.6007,0,0,1
9.891502836889853,93.19889306152751,15.9852,20.0964,27.3671,1110.2245,1.9956,62.6357,Agricultural,Loam,1140.1989,1,0,0
19.69128743094079,76.2398227796965,11.4148,31.2526,48.9443,1242.4043,1.2619,158.0681,Forest,Silt,4377.7168,1,1,0
18.419785395092614,82.09714249759253,20.4942,28.0009,49.4716,268.1182,1.608,1154.9565,Urban,Loam,707.2838,0,0,0
29.24873225139028,76.39326753064225,10.7294,31.8003,60.8188,485.0325,0.5142,269.6194,Agricultural,Silt,5088.8892,0,0,0
30.048448551229026,81.82565297630381,42.1646,21.5442,42.6215,586.5494,0.5,941.0548,Forest,Sandy,846.3206,1,0,0
18.449334888522813,79.9989526103863,11.5611,32.3033,35.2309,983.3563,0.5,1491.0161,Agricultural,Loam,804.1212,1,0,0
30.63903264527725,73.4960415411827,32.204,31.3994,31.9409,740.6317,1.7414,288.9875,Forest,Clay,2062.0783,0,1,0
23.09482864544941,92.97698921292445,22.3966,26.2684,54.0007,308.0634,0.8917,283.6406,Agricultural,Clay,2678.4107,0,0,0
29.53530609470141,93.70636965858085,223.3329,15.0,93.1943,3520.6322,5.4841,206.7606,Urban,Clay,2406.7001,0,0,1
19.27700888705886,77.47641768895492,83.5555,29.4103,66.8626,1830.1551,3.4984,199.0285,Forest,Silt,2245.8676,1,1,1
21.555720701110108,75.29431687137065,17.7293,25.0989,42.5763,622.4485,1.1028,1378.3599,Desert,Rocky,123.0587,1,0,0
24.647871627923653,96.34102735312386,96.369,21.9275,82.9279,2053.7859,2.7725,7075.2823,Forest,Peat,1436.7249,0,0,0
29.202897113912215,79.95553663782955,31.1844,28.5265,46.5851,650.8997,0.5491,201.7192,Desert,Peat,2666.2384,0,1,0
20.400896245423212,72.2128231091376,22.5158,43.4267,51.9177,1136.2162,2.3614,5810.1207,Agricultural,Rocky,2820.0658,1,1,0
11.266929329592678,81.1710480615986,14.9287,27.8854,43.9265,501.4497,1.4883,149.204,Agricultural,Silt,2230.3679,0,0,0
29.162440520280747,88.4729663865833,34.2626,33.8821,50.1739,814.2324,1.2849,336.2463,Wetland,Silt,4642.3819,1,1,0
10.131568050588793,94.81199489391273,20.5265,24.6604,24.372,315.2906,0.5,4197.8369,Agricultural,Rocky,428.4897,0,1,0
24.46494456179916,80.2410617121568,20.3249,24.9615,28.3647,640.787,1.0333,429.4815,Forest,Sandy,1364.203,1,1,0
30.729376972473347,89.66095582174795,234.209,26.0365,100.0,4517.0389,6.7011,75.6637,Desert,Sandy,1750.1572,0,0,1
30.880363965919706,90.02687484346009,93.5792,27.6492,69.7116,2041.4624,4.115,110.1425,Agricultural,Loam,896.5173,0,1,1
30.710730933048094,84.36124799445079,59.8478,41.8003,48.2094,981.3876,0.5,636.3952,Forest,Clay,1489.1205,1,1,0
